650548.05	9387922.85	650548.96	9387941.44
650551.17	9387940.09	650550.82	9387959.51
650534.81	9387944.19	650541.54	9387928.87
650545.30	9387915.08	650539.48	9387929.19
650548.89	9388012.32	650542.16	9387975.63
650547.21	9388003.44	650536.51	9387978.09
650540.27	9387998.33	650535.49	9387980.89
650536.60	9388001.73	650532.17	9387982.88
650536.73	9388005.44	650537.38	9387994.03
650539.83	9388009.38	650542.49	9387998.09
650548.06	9387997.09	650551.19	9387980.39
650549.46	9387987.69	650546.20	9387977.79
650614.54	9388074.63	650606.90	9387967.34
650629.01	9387970.49	650627.17	9387940.07
650637.25	9387955.71	650638.27	9387939.09
650642.86	9387939.83	650641.93	9387928.08
650641.26	9387928.98	650639.40	9387913.48
650645.42	9387935.53	650642.74	9387956.21
650638.47	9387956.46	650644.22	9387944.21
650601.69	9387932.82	650602.06	9387850.85
650595.69	9387868.15	650587.07	9387813.43
650592.44	9387846.61	650591.88	9387827.90
650589.70	9387840.26	650591.47	9387873.36
650596.74	9387875.52	650595.21	9387846.48
650590.10	9387825.73	650594.86	9387815.15
650590.76	9387821.63	650595.24	9387807.41
650589.85	9387821.20	650590.23	9387812.08
650589.34	9387823.84	650588.84	9387812.83
650604.81	9387826.53	650604.32	9387818.12
650613.77	9387905.44	650620.62	9387858.85
650576.10	9387906.31	650580.45	9387890.91
650576.68	9387901.90	650580.33	9387840.00
650673.32	9387835.04	650675.26	9387852.32
650676.24	9387833.14	650681.28	9387823.34
650593.90	9387895.21	650595.34	9387938.22
650575.99	9388019.96	650578.86	9387995.17
650580.65	9388011.87	650585.64	9387992.75
650582.43	9387995.95	650589.26	9387983.85
650568.95	9387984.42	650569.46	9387997.48
650570.51	9388009.36	650571.27	9387993.37
650566.69	9387997.02	650567.73	9387985.33
650564.08	9387997.57	650563.12	9387992.21
650563.30	9388004.68	650565.07	9387998.48
650553.82	9387991.80	650553.41	9387982.84
650555.10	9387996.77	650554.93	9387992.31
650556.00	9387992.94	650555.96	9387990.21
650558.01	9387991.23	650557.69	9387987.09
650557.47	9387993.96	650557.14	9387988.79
650552.97	9388009.54	650551.05	9387998.55
650554.23	9388006.75	650553.36	9387997.76
650553.36	9387997.76	650553.04	9387996.60
650551.87	9388015.49	650550.68	9388001.39
650557.04	9388014.11	650555.58	9388003.78
650587.70	9388057.84	650590.24	9388046.26
650590.61	9388050.24	650593.72	9388038.82
650591.87	9388039.91	650595.87	9388015.10
650588.94	9388039.65	650586.28	9388015.95
650591.18	9388025.73	650589.13	9388009.33
650581.95	9388022.66	650588.78	9388011.63
650604.61	9388018.80	650602.07	9388001.90
650610.21	9388004.41	650603.86	9388067.11
650603.05	9388070.43	650601.72	9388053.30
650599.29	9388056.07	650601.01	9388045.21
650594.38	9388055.52	650598.43	9388039.56
650598.67	9388041.80	650604.43	9388026.59
650568.88	9388041.34	650573.43	9388028.27
650579.49	9388095.49	650580.63	9388064.66
650586.68	9388081.95	650588.35	9388071.69
650591.67	9388072.73	650590.49	9388062.90
650650.13	9387810.33	650625.41	9387808.08
650650.35	9387822.30	650643.36	9387817.52
650634.98	9387816.65	650621.14	9387812.76
650660.73	9387804.98	650636.26	9387796.35
650643.06	9387797.81	650631.77	9387794.52
650635.19	9387790.04	650605.31	9387781.82
650619.97	9387794.54	650614.75	9387788.83
650624.07	9387797.04	650614.18	9387795.87
650631.15	9387782.29	650621.00	9387780.60
650631.21	9387781.17	650633.98	9387782.34
650639.92	9387786.21	650634.25	9387784.58
650640.51	9387785.16	650636.62	9387784.05
650645.05	9387781.92	650637.93	9387779.18
650651.18	9387782.31	650641.62	9387779.24
650650.78	9387778.89	650647.75	9387777.91
650677.49	9387787.31	650656.31	9387777.29
650670.64	9387786.73	650659.62	9387781.17
650664.31	9387785.17	650657.71	9387781.76
650674.20	9387786.73	650657.25	9387784.79
650661.43	9387794.98	650635.85	9387791.42
650651.28	9387794.21	650638.41	9387791.37
650654.20	9387804.14	650647.41	9387801.85
650639.71	9387807.00	650632.46	9387806.55
650630.32	9387793.93	650626.43	9387792.95
650630.08	9387777.09	650636.28	9387777.54
650632.00	9387779.32	650622.97	9387778.55
650629.15	9387774.66	650638.19	9387775.10
650653.40	9387771.71	650644.44	9387771.47
650652.48	9387773.42	650642.59	9387772.46
